event_id,airtable_record_id,event_name,event_date,event_type,series,brand_partners,internal_external,store_key,is_offsite,n_stores,has_control,cost_state,cost_recorded,direct_cost,shared_cost_allocated,gross_cost,brand_offset,net_tta_cost,shared_lines,expected_attendance,expected_attendance_raw,event_date_export,shared_cost_allocated_export,gross_cost_export,net_tta_cost_export,realloc_delta,built_at
recpWtAf1Vu57BUz7-1,recpWtAf1Vu57BUz7,Green Market Report Women in Cannabis Summit,2024-05-16,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-16,,,,0.0,2026-09-04 16:04:02.844652
recEmUMJp0foKzSeq-1,recEmUMJp0foKzSeq,NYCxDesign Day of Design,2024-05-18,In-Store Activation,One-off,"",Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-18,,,,0.0,2026-09-04 16:04:02.844652
recFWPQm75bt6Xbxn-4,recFWPQm75bt6Xbxn,Musical Theatre Factory: The Factory Function,2024-05-20,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-20,,,,0.0,2026-09-04 16:04:02.844652
recFWPQm75bt6Xbxn-1,recFWPQm75bt6Xbxn,Musical Theatre Factory: The Factory Function,2024-05-20,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-20,,,,0.0,2026-09-04 16:04:02.844652
recFWPQm75bt6Xbxn-2,recFWPQm75bt6Xbxn,Musical Theatre Factory: The Factory Function,2024-05-20,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-05-20,,,,0.0,2026-09-04 16:04:02.844652
recoRvIVLGxrdR5MG-1,recoRvIVLGxrdR5MG,Rage & Release 5/21,2024-05-21,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-21,,,,0.0,2026-09-04 16:04:02.844652
recH0urO1UDKxeXIA-1,recH0urO1UDKxeXIA,Rage & Release 5/28,2024-05-28,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-05-28,,,,0.0,2026-09-04 16:04:02.844652
recdo6RXLDrP6w1Nd-1,recdo6RXLDrP6w1Nd,Rage & Release 6/4,2024-06-04,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-04,,,,0.0,2026-09-04 16:04:02.844652
recNuRj44AjKMLt0w-1,recNuRj44AjKMLt0w,Chelsea Devantez & Jon Stewart @ 92Y,2024-06-05,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-05,,,,0.0,2026-09-04 16:04:02.844652
recNuRj44AjKMLt0w-2,recNuRj44AjKMLt0w,Chelsea Devantez & Jon Stewart @ 92Y,2024-06-05,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-05,,,,0.0,2026-09-04 16:04:02.844652
recNuRj44AjKMLt0w-4,recNuRj44AjKMLt0w,Chelsea Devantez & Jon Stewart @ 92Y,2024-06-05,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-05,,,,0.0,2026-09-04 16:04:02.844652
recX1lDCAoWlKV3WN-2,recX1lDCAoWlKV3WN,CWBExpo,2024-06-07,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-07,,,,0.0,2026-09-04 16:04:02.844652
recX1lDCAoWlKV3WN-4,recX1lDCAoWlKV3WN,CWBExpo,2024-06-07,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-07,,,,0.0,2026-09-04 16:04:02.844652
recX1lDCAoWlKV3WN-1,recX1lDCAoWlKV3WN,CWBExpo,2024-06-07,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-07,,,,0.0,2026-09-04 16:04:02.844652
recTiCfP0qoApkdxv-4,recTiCfP0qoApkdxv,Gov Ball 2024,2024-06-09,Community Programming,One-off,Bloom (The Bloom Brand),External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-09,,,,0.0,2026-09-04 16:04:02.844652
recTiCfP0qoApkdxv-1,recTiCfP0qoApkdxv,Gov Ball 2024,2024-06-09,Community Programming,One-off,Bloom (The Bloom Brand),External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-09,,,,0.0,2026-09-04 16:04:02.844652
recTiCfP0qoApkdxv-2,recTiCfP0qoApkdxv,Gov Ball 2024,2024-06-09,Community Programming,One-off,Bloom (The Bloom Brand),External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-09,,,,0.0,2026-09-04 16:04:02.844652
recnWyAa1uFMGLXM4-1,recnWyAa1uFMGLXM4,Rage & Release 6/11,2024-06-11,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-11,,,,0.0,2026-09-04 16:04:02.844652
rec0Lw3WTtcYp7bXC-1,rec0Lw3WTtcYp7bXC,DTBK Unveiling Party,2024-06-12,In-Store Activation,One-off,Go Easy,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-12,,,,0.0,2026-09-04 16:04:02.844652
rec2355Ij1Vqyks3K-4,rec2355Ij1Vqyks3K,In Pursuit Of: Microdosing Motherhood,2024-06-12,Community Programming,One-off,Chime & Chill,External,4,false,2,true,no_budget_linked,false,,,,,,0,,,2024-06-12,,,,0.0,2026-09-04 16:04:02.844652
rec2355Ij1Vqyks3K-2,rec2355Ij1Vqyks3K,In Pursuit Of: Microdosing Motherhood,2024-06-12,Community Programming,One-off,Chime & Chill,External,2,false,2,true,no_budget_linked,false,,,,,,0,,,2024-06-12,,,,0.0,2026-09-04 16:04:02.844652
recLNuHCuCy9FaFQl-1,recLNuHCuCy9FaFQl,The Just Say Gay Show,2024-06-14,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-14,,,,0.0,2026-09-04 16:04:02.844652
recLNuHCuCy9FaFQl-4,recLNuHCuCy9FaFQl,The Just Say Gay Show,2024-06-14,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-14,,,,0.0,2026-09-04 16:04:02.844652
recLNuHCuCy9FaFQl-2,recLNuHCuCy9FaFQl,The Just Say Gay Show,2024-06-14,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-14,,,,0.0,2026-09-04 16:04:02.844652
recxglL9I3lbFlVoC-1,recxglL9I3lbFlVoC,Las Culturistas Culture Awards After-Party,2024-06-15,TTA Brand Event,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recxglL9I3lbFlVoC-4,recxglL9I3lbFlVoC,Las Culturistas Culture Awards After-Party,2024-06-15,TTA Brand Event,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recxglL9I3lbFlVoC-2,recxglL9I3lbFlVoC,Las Culturistas Culture Awards After-Party,2024-06-15,TTA Brand Event,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recCId6S5gZpmnYb8-4,recCId6S5gZpmnYb8,Stand Up NYC: Pride 2024,2024-06-15,Community Programming,One-off,"",External,4,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recCId6S5gZpmnYb8-1,recCId6S5gZpmnYb8,Stand Up NYC: Pride 2024,2024-06-15,Community Programming,One-off,"",External,1,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recCId6S5gZpmnYb8-2,recCId6S5gZpmnYb8,Stand Up NYC: Pride 2024,2024-06-15,Community Programming,One-off,"",External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-15,,,,0.0,2026-09-04 16:04:02.844652
recbrZdRic4V0jvYm-1,recbrZdRic4V0jvYm,Rage & Release 6/18,2024-06-18,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-18,,,,0.0,2026-09-04 16:04:02.844652
recBPZWHcwB1X9nNp-1,recBPZWHcwB1X9nNp,Rage & Release 6/25,2024-06-25,In-Store Activation,One-off,Off Hours,Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-25,,,,0.0,2026-09-04 16:04:02.844652
rec3xufXQz0TLqvzL-4,rec3xufXQz0TLqvzL,Rosé Celeb Drag Pop-Up,2024-06-26,In-Store Activation,One-off,"",Internal,4,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-26,,,,0.0,2026-09-04 16:04:02.844652
recL6hTEFJgAll8Dr-2,recL6hTEFJgAll8Dr,Tayce Celeb Drag Pop-Up copy,2024-06-27,In-Store Activation,One-off,"",Internal,2,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-27,,,,0.0,2026-09-04 16:04:02.844652
reckjrgKAFS5TfPL8-1,reckjrgKAFS5TfPL8,LaLa Ri Celeb Drag Pop-Up,2024-06-28,In-Store Activation,One-off,"",Internal,1,false,1,true,no_budget_linked,false,,,,,,0,,,2024-06-28,,,,0.0,2026-09-04 16:04:02.844652
recZEv24Ejq5NQ5vE-2,recZEv24Ejq5NQ5vE,Voss Events: Proud Divas,2024-06-29,Community Programming,One-off,Drew Martin,External,2,false,3,true,no_budget_linked,false,,,,,,0,,,2024-06-29,,,,0.0,2026-09-04 16:04:02.844652
